source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
TX,16316574,9400 CLUB,IPFS CORP,11950 PERRY RD,HOUSTON,TX,77064,ANY OTHER MISCELLANEOUS OUTSTANDING CKS,MS16,168.4,2016,bPX1F58BVoZSrHrZxyY7
TX,15029609,ABOVE CLUB,CHRYSLER CORP,C/O MAX ROTH,HOUSTON,TX,77015,UNDERLYING SHARES,SC12,1001.8,1991,5-30F58BWDpOTxa96v_e
TX,24915778,ACTUARIES CLUB,UNITED SVCS AUTOMOBILE ASSN,12710 RESEARCH BLVD,AUSTIN,TX,78759,EXPENSE CHECK,CK10,75.0,1997,08T6F58Bqu6IKIxAdVM4
TX,23592281,ADELPHI CLUB,FROST NTL BANK,PO BOX 16983,GALVESTON,TX,77552,CHECKING ACCOUNT,AC01,289.49,2015,EW35F58BMOBo_ZuOdEHz
TX,24804898,AGRONOMY CLUB,STATE BANK,PO BOX 486,PRAIRIE VIEW,TX,77446,SAVINGS ACCOUNT,AC02,112.39,2004,cm76F58BMOBo_ZuOVibX
TX,16253033,ALPHABET CLUB,SOUTHWESTERN BELL TELEPHONE CO,13229 JONES RD,HOUSTON,TX,77070,REFUND OR REBATE DUE,MS11,89.78,2004,s-71F58BWDpOTxa9sbcJ
TX,30541601,AMARILLO CLUB,HERRING NTL BANK,,,TX,00000,EXPENSE CHECK,CK10,48.72,2009,iJ3-F58BdxBbIqahKf3I
TX,106078001,AMARILLO CLUB,Not Disclosed,600 S TYLER ST,AMARILLO,TX,79101,Not Disclosed,MS08,157.49,2025,Y7QlGJ8BgbHqynegEKu3
TX,31731257,AMARILLO CLUB,FIRSTBANK SW,,,,00000,EXPENSE CHECK,CK10,29.0,1987,QMf_F58Bqu6IKIxAAomS
TX,19036813,AMELEB CLUB,FDIC ADVANTA BANK CORP,4003 LEGEND RANCH DRIVE,SAN ANTONIO,TX,78230,OUTSTND OFFICIAL CHECK OR EXCHANGE ITEM,CK15,32.37,2014,UcH3F58Bqu6IKIxAF-Cs
TX,3995394,ANCHOR CLUB,AMERICAN EXPRESS,3130 HWY 90 EAST,LIBERTY,TX,77575,DRAFT,CK05,375.81,1992,BL3vF58BPFHwP-jRvDS_
TX,29817198,ANTHROPOLOGY CLUB,UNIVERSITY OF TX PAN AMER,#### W UNIVERSITY DRIVEUC ###,EDINBURG,TX,78539,ACCOUNTS PAYABLE,MS08,100.0,2011,WVX9F58Bj6Q_lu2Xt2bw
TX,27573124,APUC CLUB,FIRST INTERSTATE BANK,,,,00000,CHECKING ACCOUNT,AC01,171.93,1987,4Pb8F58B9dGTenPiXPgS
TX,54098384,ART CLUB,BP AMERICA PRODUCTION CO,PO BOX 271137,HOUSTON,TX,77277,OUTSTND OFFICIAL CHECK OR EXCHANGE ITEM,CK15,300.0,2018,hqUIGJ8BdxBbIqahcRhZ
TX,108859780,Ashley Club,Not Disclosed,P.O. Box 251492,PLANO,TX,75025,Not Disclosed,MS04,30.0,2026,MHAmGJ8Bj6Q_lu2Xg7va
TX,27893708,ASSOCIATION CLUB,LA MANSION DEL RIO HOTEL,,,,00000,PAYMENT FOR GOODS OR SERVICES,MS04,438.5,2002,t5z8F58BdxBbIqahlsZI
TX,32281613,ATHENIAN CLUB,INWOOD NTL BANK,,,TX,00000,CONTENTS OF OTHER SAFEKEEPING REPOSITORY,SD02,1.84,2005,4sf_F58BPFHwP-jRaD1Z
TX,89856178,AUSAM  CLUB,PAYPAL INC,300 E RIVERSIDE DRIVE,AUSTIN,TX,78704,ANY OTHER MISC INTANGIBLE PERSONAL PROP,MS17,723.29,2024,0IUbGJ8BMOBo_ZuOfIAL
TX,59793817,AUSTIN CLUB,TWIN LIQUORS LP,110 E 9TH STREET,AUSTIN,TX,78701,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,29.0,2019,YwELGJ8B9dGTenPimUbm
TX,1955656,AUSTINS CLUB,STATE OF ILLINOIS,PO BOX 346,SEALY,TX,00000,INDIVIDUAL POLICY CLAIM PMT OR BENEFIT,IN01,223.65,2008,UbzuF58BPFHwP-jR4UZ_
TX,26866879,AUTO CLUB,FIRST CITY BANK,,,,00000,CASHIER'S CHECK,CK01,27.0,1986,NPn7F58BVoZSrHrZ4G7n
TX,16218938,AVONDALE CLUB,SOUTHWESTERN BELL TELEPHONE CO,4308 AVONDALE AVE,DALLAS,TX,75219,REFUND OR REBATE,UT03,192.09,1996,-pH1F58BdwRK0i0yqdxD
TX,56433076,AWARDS CLUB,RANDOLPH BROOKS FCU,,,,,CASHIER'S CHECK,CK01,55.0,2018,0ncJGJ8BMOBo_ZuOivKe
TX,46341406,BALCONES CLUB,ODP CORPORATION ex OFFICE DEPOT INC,9218 BALCONES CLUB DR,AUSTIN,TX,78750,ANY OTHER MISCELLANEOUS OUTSTANDING CKS,MS16,120.76,2017,qAEFGJ8BVoZSrHrZtRu8
TX,53082220,BALCONES CLUB,ODP CORPORATION ex OFFICE DEPOT INC,9218 BALCONES CLUB DR,AUSTIN,TX,78750,ANY OTHER MISCELLANEOUS OUTSTANDING CKS,MS16,317.44,2018,q80IGJ8Bqu6IKIxAEwUe
TX,57675561,Bandera Club,Andrews Distributing of NT,10815 Ferguson Rd,Dallas,TX,75228,ACCOUNTS PAYABLE,MS08,82.35,2019,xV0KGJ8Bj6Q_lu2XDgH2
TX,35634955,BAROID CLUB,PRESTIGE COMMUNITY CU,P O BOX 1675,HOUSTON,TX,77251,CASHIER'S CHECK,CK01,190.8,2014,FsgBGJ8Bqu6IKIxAm4Sw
TX,46164242,BASEBALL CLUB,ELSC Rio Grande Electric Coop,PO BOX 422,DELL CITY,TX,79837,"To claim these funds, please contact Zoila Campos at the reporting entity directly at 8305632444.",UT04,53.79,2017,eaMFGJ8BdxBbIqahny8j
TX,53273593,BASEBALL CLUB,RIO GRANDE ELECTRIC COOP INC,PO BOX 422,DELL CITY,TX,79837,CAPITAL CREDIT DISTRIBUTION,UT04,108.41,2018,svoIGJ8BWDpOTxa9IlXN
TX,107397073,BASS CLUB,Not Disclosed,,,,,Not Disclosed,CK01,90.0,2025,GY4lGJ8BMOBo_ZuOyDdL
