source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
NY,66008379,BELLA  CALENDAR,CHASE BANK USA NA (300056),1421 SHEEPSHEAD BAY RD APT 159,BROOKLYN,NY,11235,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2016,lf-NFJ8BdxBbIqahS0zG
NY,19906253,CALENDAR  ACTION,STANDARD CHARTERED BANK,P O BOX 9,PALMYRA,NJ,08065,CASHIER'S CHECKS,CK01,,2001,m5CDFJ8BRez0kkx5M22T
NY,75236472,CALENDAR WAT / ORCHARD TRUST CUSTODIAN,MERRILL LYNCH GRA,11 PARK PL,NEW YORK,NY,10007,VENDOR CHECKS,CK13,,2019,SdeBFJ8BMOBo_ZuOTrYp
NY,57240830,CLOSET CALENDAR,GOOGLE INC,31 MERCEDES DRIVE,ROCHESTER,NY,14624,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2013,3f6LFJ8BdxBbIqahZCPo
NY,44256638,ELANE  CALENDAR,HEWLETT PACKARD CO,167 MADISON AVE RM 602,NEW YORK,NY,10016,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2011,0LiIFJ8Bj6Q_lu2XtVYS
NY,40116977,ESTHER  CALENDAR,AT&T CORP,1760 3RD AVE,NEW YORK,NY,10029,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2010,7reHFJ8Bj6Q_lu2X2N5H
NY,27967634,FASHION CALENDAR,FEDERATED DEPARTMENT STORES INC,153 E 87TH ST,NEW YORK,NY,10128,VENDOR CHECKS,CK13,,2005,tFKFFJ8BWDpOTxa9LwEu
NY,27368025,FASHION CALENDAR,RODALE INC,185 EAST 85TH ST,NEW YORK,NY,10028,VENDOR CHECKS,CK13,,2005,pZGFFJ8BRez0kkx5D4dW
NY,57745964,GO  CALENDAR,VERIZON NEW YORK INC,PO BOX 2285,BRENTWOOD,NY,11717,REFUNDS OR REBATES,UT03,,2015,yrqLFJ8Bj6Q_lu2Xg0zW
NY,57746035,GO CALENDAR,VERIZON NEW YORK INC,PO BOX 2285,BRENTWOOD,NY,11717,REFUNDS OR REBATES,UT03,,2015,6LqLFJ8Bj6Q_lu2Xg0zW
NY,92231457,IYANNA  CALENDAR / CHRISTINA  HALL,GOVERNMENT EMPLOYEES INSURANCE COMPANY,9118 5TH AVE,BROOKLYN,NY,11209,INDIVIDUAL POLICY BENEFITS OR CLAIM PAYMENTS,IN01,,2022,iTKTFJ8Bqu6IKIxAr0Lu
NY,98997427,NEW  CALENDAR,AUDIO AND VIDEO LABS INC,85 SOUTH ST APT 3F,NEW YORK,NY,10038,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2024,VMGWFJ8Bj6Q_lu2XhP6j
NY,110533232,TAMARA  CALENDAR,TRAVELERS INDEMNITY COMPANY,185 HALL ST APT 916,BROOKLYN,NY,11205,INDIVIDUAL POLICY BENEFITS OR CLAIM PAYMENTS,IN01,,2025,GcabFJ8Bj6Q_lu2XcyL0
NY,31796500,BEST CALENDAR SERVICE,TRAVELERS INDEMNITY CO,8801 SHORE RD,BROOKLYN,NY,11209,VENDOR CHECKS,CK13,,2007,k1yGFJ8BVoZSrHrZEjdm
NY,32731428,BEST CALENDAR SERVICE,EVEREADY INSURANCE CO,"8801 SHORE ROAD,#3F",BROOKLYN,NY,11209,INDIVIDUAL POLICY BENEFITS OR CLAIM PAYMENTS,IN01,,2007,vSiGFJ8Bqu6IKIxAS-vc
NY,109228656,BIOTECHNOLOGY CALENDAR INC,ROCKEFELLER UNIVERSITY,P O BOX 935,GRASS VALLEY,CA,95924,VENDOR CHECKS,CK13,,2025,y-aaFJ8BMOBo_ZuOizsm
NY,62044993,CALENDAR BRUSH INC,CITIBANK NA,75 PRINCE LANE,WESTBURY,NY,11590,CHECKING ACCOUNTS,AC01,,2015,r2CMFJ8BVoZSrHrZZt_C
NY,54756111,CALENDAR PEOPLE LTD,HSBC BANK USA NA,365 W 20TH ST # 333,NEW YORK,NY,10011,CHECKING ACCOUNTS,AC01,,2013,tl2KFJ8B9dGTenPi69YH
NY,62161048,CALENDAR USA INC,JPMORGAN CHASE BANK NA (802),24 MESA RD,SYOSSET,NY,11791,CHECKING ACCOUNTS,AC01,,2015,uLqMFJ8Bj6Q_lu2XbuAZ
NY,47769890,CALENDAR USA INC,INTESA SANPAOLO,301 FIELDS LANE,BREWSTER,NY,10509,CHECKING ACCOUNTS,AC01,,2011,rF-JFJ8BVoZSrHrZNgZM
NY,28711133,COMDA INT CALENDAR,FEDEX GROUND PACKAGE SYSTEM INC,15 LAWRENCE BELL DR,AMHERST,NY,14221,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2006,SvqFFJ8BgbHqynegWqdx
NY,27505188,COMDA INTERNATIONAL CALENDAR,STATE OF WASHINGTON,15 LAWRENCE BELL DR,AMHERST,NY,14221,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2005,6ZGFFJ8BRez0kkx5D7Rg
NY,26415707,COMDA INTERNATIONAL CALENDAR,FEDEX GROUND PACKAGE SYSTEM INC,151 LAWRENCE BELL DRIVE,AMHERST,NY,14221,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2005,c4uEFJ8BBuGJUe8uxIS_
NY,37043626,COMDA THE CALENDAR,AMERICAN SIGNATURE INC,15 LAWRENCE BELL DR,AMHERST,NY,14221,VENDOR CHECKS,CK13,,2009,nl2HFJ8BVoZSrHrZO0Rf
NY,26347270,COMDA/INTERNATIONAL CALENDAR,INTERNATIONAL PAPER CO,15 LAWRENCE BELL DR,AMHERST,NY,14221,VENDOR CHECKS,CK13,,2005,siOEFJ8BPFHwP-jRvMT_
NY,20797219,GLEN FORD CALENDAR,MT SINAI MEDICAL CENTER,2532 RADCLIFF  AVENUE,BRONX,NY,,VENDOR CHECKS,CK13,,2002,aFiDFJ8B9dGTenPiZYMR
NY,47724931,PREFERRED CALENDAR SVCINC,GREATER NEW YORK MUTUAL INSURANCE CO,160 MARISA CIRCLE,STATEN ISLAND,NY,10309,INDIVIDUAL POLICY BENEFITS OR CLAIM PAYMENTS,IN01,,2011,OVWJFJ8BWDpOTxa9L79w
NY,101069684,SPORTS CALENDAR INTERNATIONAL,PAYPAL,155 E 33ST,NEW YORK,NY,10016,MISC INTANGIBLE PROP,MS17,,2024,w12XFJ8BWDpOTxa9IBAw
NY,82289157,WALL STREET CALENDAR,B RILEY SECURITIES INC,P O BOX 4338,HUNTINGTON,NY,11743,VENDOR CHECKS,CK13,,2021,IwKQFJ8BdxBbIqahzxxb
NY,49096970,CALENDAR CLUB/CHRISTMAS CORNER,COMMONWEALTH OF VIRGINIA,495 ROTTERDAM INDUSTRIAL PARK,SCHENECTADY,NY,12306,CUSTOMER OVERPAYMENTS,MS05,,2011,65SJFJ8BRez0kkx5iw6_
NY,93975835,CALENDAR TRAVEL AGENCY LTD,NATIONSTAR MORTGAGE LLC,819 MIDWOOD ST,BROOKLYN,NY,11203,ESCROW ACCOUNTS HELD BY REAL ESTATE OR TITLE INSURANCE COMPANIES,TR04,,2023,ZAGUFJ8BdwRK0i0ydrF4
NY,52945899,COMDA THE CALENDAR P,AMERIGAS PROPANE LP,15 LAWRENCE BELL DR,AMHERST,NY,14221,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2013,V_2KFJ8BgbHqyneghqeR
NY,31480673,COMDA/INTERNATIONAL CALENDAR C,LAIDLAW TRANSIT INC,15 LAWRENCE BELL DR,AMHERST,NY,14221,VENDOR CHECKS,CK13,,2007,YFyFFJ8BVoZSrHrZ-xhU
NY,101063179,MY TOWN EVENT CALENDAR,PAYPAL,694 9TH AVE,NEW YORK,NY,10036,MISC INTANGIBLE PROP,MS17,,2024,cl2XFJ8BWDpOTxa9IAUs
NY,66800805,CALENDAR WATCHING SERVICES INC 40,GREAT WEST TRUST CO LLC,11 PARK PLACE,NEW YORK CITY,NY,10007,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2017,ly2NFJ8Bqu6IKIxAfo0R
NY,84712971,ROZ SILVERSTEIN CALENDAR SERVICE INC,OFFICE OF THE STATE COMPTROLLER,408 DIVISION AVE,HICKSVILLE,NY,11801,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2021,XmORFJ8BVoZSrHrZYqAT
NY,84712970,ROZ SILVERSTEIN CALENDAR SERVICE INC,OFFICE OF THE STATE COMPTROLLER,408 DIVISION AVE,HICKSVILLE,NY,11801,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2021,XWORFJ8BVoZSrHrZYqAT
NY,82740575,AGA HOLDINGS  AGA HOLDINGS,RAYMOURS FURNITURE CO INC,106 LINDEN STREET,BROOKLYN,NY,11221,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2021,dy-QFJ8Bqu6IKIxA5cIZ
NY,93773205,19PRINCE HOLDINGS,GOOGLE LLC & AFFILIATES,DARREN ORTSMAN,NEW YORK,NY,10009,VENDOR CHECKS,CK13,,2023,GGSUFJ8B9dGTenPiXlqG
NY,73841713,29 HOLDINGS,TD AMERITRADE CLEARING INC,20 E 74TH ST,NEW YORK,NY,10021,CREDIT BALANCES,SC20,,2019,XCCAFJ8BPFHwP-jRxt0d
NY,97457275,3L HOLDINGS,ORANGE AND ROCKLAND UTILITIES INC,170 E END AVE 3L,NEW YORK,NY,10128,REFUNDS OR REBATES,UT03,,2024,CzSVFJ8Bqu6IKIxA8G03
NY,97167383,441 HOLDINGS,OCCIDENTAL FIRE CASUALTY INS CO OF NC,348 BURR RD,COMMACK,NY,11725,OTHER AMTS DUE UNDER POLICY,IN07,,2023,FpyVFJ8BRez0kkx5wjna
NY,110732062,700 HOLDINGS,NATIONAL GRID DBA KEYSPAN GAS COMPANY,700 PARSONAGE ST,BALDWIN,NY,11510,UTILITY DEPOSIT,UT01,,2025,3GCbFJ8BWDpOTxa9oo8D
NY,105731244,ACREAGE HOLDINGS,AMAZON COM INC AND SUBSIDIARIES,PO BOX 3308,NEW YORK,NY,10163,VENDOR CHECKS,CK13,,2025,BsSZFJ8Bj6Q_lu2XepJo
NY,113153405,ACREAGE HOLDINGS,AMERICAN EXPRESS COMPANY,450 LEXINGTN AVNO3308,NEW YORK,NY,10163,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2026,GMecFJ8Bj6Q_lu2Xi2Lb
NY,101092626,ACREAGE HOLDINGS,EPSON AMERICA INC,366 MADISON AVE 11TH FLR,NEW YORK,NY,10017,VENDOR CHECKS,CK13,,2024,3TCXFJ8BPFHwP-jRKGSm
NY,113153406,ACREAGE HOLDINGS,AMERICAN EXPRESS COMPANY,450 LEXINGTN AVNO3308,NEW YORK,NY,10163,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2026,GcecFJ8Bj6Q_lu2Xi2Lb
NY,112864066,ACTION HOLDINGS,CHARTER COMMUNICATIONS INC,PO BOX 3620997,NEW YORK,NY,10129,CREDIT BAL -  ACCTS RECEIVABLE,MS09,,2025,oTicFJ8Bqu6IKIxAT0Rr
